,,,,,,,,,,, 
,,,,,,,,,,,
Task/Objective,Current State,Desired State,Gap Identified?,Gap Description,Corrective Actions,Priority,,,,,
HTML,Static UI ,Static UI,NO,N/A,N/A,HIGH,,,,,
CSS,Structuring UI,Structuring UI,NO,N/A,N/A,HIGH,,,,,
DOM MANAGEMENT,Not showing,Cell Location detection in the address bar,Yes,It must show the address of the current cell,By implementing DOM manipulation ,HIGH,,,,,
TWO WAY BINDING,Static,Dynamic properties of each cell,Yes,can change the properties of a single cell dynamically,Data change in storage and UI change,HIGH,,,,,
FORMULA EVALUATION,To be implemented,Arithmetic Operations,Yes,Can do basic arithmetic operations,Storing data of each cell and adding eventListner to each cell,MEDIUM,,,,,
FORMULA CYCLE VALIDATION,To be implemented,Detecting Formula Cycle,Yes,Can detect formula cycle ,Learning Graph Algorithm,MEDIUM,,,,,
CYCLE VALIDATION COLOUR TRACKING,To be implemented,Colour tracking,Yes,Can trace the cycle with colour tracing,Learning Graph Algorithm,HIGH,,,,,
MULTIPLE SHEET HANDLING,To be implemented,Working with multiple sheets at the same time,Yes,Should be able to work with multiple sheets ,Add eventListner to sheet ,HIGH,,,,,
"OPEN, DOWNLOAD SHEETS",To be implemented,"Save, download files and upload files ",Yes,Should be able to download the sheet and also to upload an existing sheet,Add eventListner to the upload/download button,HIGH,,,,,
"CUT, COPY PASTE IN MULTIPLE CELLS",To be implemented,"CUT, COPY PASTE IN MULTIPLE CELLS",Yes,N/A,Add eventListner to the cell,HIGH,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,this is changed here!!,,this is also changed here,changed,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,